Date,Metric,"Nov 30 2023, 12:00AM - Feb 28 2024, 5:43PM"
2023-11-30,A. Volume,0.165
2023-11-30,B. Dune Analytics [Sum of ethPrice],2038.424306
2023-11-30,Formula,0.7795121629063098
2023-12-01,A. Volume,9.3965
2023-12-01,B. Dune Analytics [Sum of ethPrice],2089.037153
2023-12-01,Formula,0.7988669801147228
2023-12-02,A. Volume,3.479892
2023-12-02,B. Dune Analytics [Sum of ethPrice],2113.755451
2023-12-02,Formula,0.8083194841300191
2023-12-03,A. Volume,1.035
2023-12-03,B. Dune Analytics [Sum of ethPrice],2165.827257
2023-12-03,Formula,0.8282322206500956
2023-12-04,A. Volume,0.38
2023-12-04,B. Dune Analytics [Sum of ethPrice],2232.034896
2023-12-04,Formula,0.8535506294455067
2023-12-05,A. Volume,7.186373
2023-12-05,B. Dune Analytics [Sum of ethPrice],2236.880104
2023-12-05,Formula,0.8554034814531548
2023-12-06,A. Volume,3.528
2023-12-06,B. Dune Analytics [Sum of ethPrice],2270.866111
2023-12-06,Formula,0.8684000424474186
2023-12-07,A. Volume,6.072893
2023-12-07,B. Dune Analytics [Sum of ethPrice],2286.029479
2023-12-07,Formula,0.8741986535372849
2023-12-08,A. Volume,3.8742
2023-12-08,B. Dune Analytics [Sum of ethPrice],2363.164236
2023-12-08,Formula,0.9036956925430211
2023-12-09,A. Volume,3.3012
2023-12-09,B. Dune Analytics [Sum of ethPrice],2362.249861
2023-12-09,Formula,0.9033460271510515
2023-12-10,A. Volume,14.8658
2023-12-10,B. Dune Analytics [Sum of ethPrice],2354.075972
2023-12-10,Formula,0.9002202569789676
2023-12-11,A. Volume,7.712639
2023-12-11,B. Dune Analytics [Sum of ethPrice],2239.817118
2023-12-11,Formula,0.8565266225621415
2023-12-12,A. Volume,6.5077
2023-12-12,B. Dune Analytics [Sum of ethPrice],2214.12184
2023-12-12,Formula,0.8467005124282982
2023-12-13,A. Volume,6.57279
2023-12-13,B. Dune Analytics [Sum of ethPrice],2201.823611
2023-12-13,Formula,0.8419975567877628
2023-12-14,A. Volume,1.212399
2023-12-14,B. Dune Analytics [Sum of ethPrice],2281.854583
2023-12-14,Formula,0.8726021349904397
2023-12-15,A. Volume,0.545898
2023-12-15,B. Dune Analytics [Sum of ethPrice],2264.822396
2023-12-15,Formula,0.8660888703632887
2023-12-16,A. Volume,0.1657
