Date,Event,"Nov 30 2023, 12:00AM - Feb 28 2024, 5:44PM"
2023-11-30,A. Volume,0.165
2023-11-30,B. Discord Stats [Sum of messages_guild-message-activity],824
2023-12-01,A. Volume,9.3965
2023-12-01,B. Discord Stats [Sum of messages_guild-message-activity],539
2023-12-02,A. Volume,3.479892
2023-12-02,B. Discord Stats [Sum of messages_guild-message-activity],186
2023-12-03,A. Volume,1.035
2023-12-03,B. Discord Stats [Sum of messages_guild-message-activity],162
2023-12-04,A. Volume,0.38
2023-12-04,B. Discord Stats [Sum of messages_guild-message-activity],232
2023-12-05,A. Volume,7.186373
2023-12-05,B. Discord Stats [Sum of messages_guild-message-activity],185
2023-12-06,A. Volume,3.528
2023-12-06,B. Discord Stats [Sum of messages_guild-message-activity],200
2023-12-07,A. Volume,6.072893
2023-12-07,B. Discord Stats [Sum of messages_guild-message-activity],304
2023-12-08,A. Volume,3.8742
2023-12-08,B. Discord Stats [Sum of messages_guild-message-activity],372
2023-12-09,A. Volume,3.3012
2023-12-09,B. Discord Stats [Sum of messages_guild-message-activity],150
2023-12-10,A. Volume,14.8658
2023-12-10,B. Discord Stats [Sum of messages_guild-message-activity],165
2023-12-11,A. Volume,7.712639
2023-12-11,B. Discord Stats [Sum of messages_guild-message-activity],190
2023-12-12,A. Volume,6.5077
2023-12-12,B. Discord Stats [Sum of messages_guild-message-activity],141
2023-12-13,A. Volume,6.57279
2023-12-13,B. Discord Stats [Sum of messages_guild-message-activity],127
2023-12-14,A. Volume,1.212399
2023-12-14,B. Discord Stats [Sum of messages_guild-message-activity],175
2023-12-15,A. Volume,0.545898
2023-12-15,B. Discord Stats [Sum of messages_guild-message-activity],200
2023-12-16,A. Volume,0.1657
2023-12-16,B. Discord Stats [Sum of messages_guild-message-activity],156
2023-12-17,A. Volume,1.5933
2023-12-17,B. Discord Stats [Sum of messages_guild-message-activity],290
2023-12-18,A. Volume,7.085497
2023-12-18,B. Discord Stats [Sum of messages_guild-message-activity],250
2023-12-19,A. Volume,6.0815
2023-12-19,B. Discord Stats [Sum of messages_guild-message-activity],153
2023-12-20,A. Volume,0.439699
2023-12-20,B. Discord Stats [Sum of messages_guild-message-activity],135
2023-12-21,A. Volume,0.2668
2023-12-21,B. Discord Stats [Sum of messages_guild-message-activity],113
2023-12-22,A. Volume,1.019
2023-12-22,B. Discord Stats [Sum of messages_guild-message-activity],64
2023-12-23,A. Volume,6.255186
2023-12-23,B. Discord Stats [Sum of messages_guild-message-activity],209
2023-12-24,A. Volume,0.7352
2023-12-24,B. Discord Stats [Sum of messages_guild-message-activity],127
2023-12-25,A. Volume,5.130398
2023-12-25,B. Discord Stats [Sum of messages_guild-message-activity],122
2023-12-26,A. Volume,3.5243
2023-12-26,B. Discord Stats [Sum of messages_guild-message-activity],92
