Date,Event,"Nov 30 2023, 12:00AM - Feb 28 2024, 2:45PM"
2023-11-30,B. Discord Stats [Sum of new_members_guild-activation],15
2023-11-30,C. Dune Analytics [Sum of volume],0.165
2023-12-01,B. Discord Stats [Sum of new_members_guild-activation],15
2023-12-01,C. Dune Analytics [Sum of volume],9.3965
2023-12-02,B. Discord Stats [Sum of new_members_guild-activation],10
2023-12-02,C. Dune Analytics [Sum of volume],3.479892
2023-12-03,B. Discord Stats [Sum of new_members_guild-activation],9
2023-12-03,C. Dune Analytics [Sum of volume],1.035
2023-12-04,B. Discord Stats [Sum of new_members_guild-activation],11
2023-12-04,C. Dune Analytics [Sum of volume],0.38
2023-12-05,B. Discord Stats [Sum of new_members_guild-activation],9
2023-12-05,C. Dune Analytics [Sum of volume],7.186373
2023-12-06,B. Discord Stats [Sum of new_members_guild-activation],9
2023-12-06,C. Dune Analytics [Sum of volume],3.528
2023-12-07,B. Discord Stats [Sum of new_members_guild-activation],9
2023-12-07,C. Dune Analytics [Sum of volume],6.072893
2023-12-08,B. Discord Stats [Sum of new_members_guild-activation],7
2023-12-08,C. Dune Analytics [Sum of volume],3.8742
2023-12-09,B. Discord Stats [Sum of new_members_guild-activation],5
2023-12-09,C. Dune Analytics [Sum of volume],3.3012
2023-12-10,B. Discord Stats [Sum of new_members_guild-activation],13
2023-12-10,C. Dune Analytics [Sum of volume],14.8658
2023-12-11,B. Discord Stats [Sum of new_members_guild-activation],20
2023-12-11,C. Dune Analytics [Sum of volume],7.712639
2023-12-12,B. Discord Stats [Sum of new_members_guild-activation],14
2023-12-12,C. Dune Analytics [Sum of volume],6.5077
2023-12-13,B. Discord Stats [Sum of new_members_guild-activation],5
2023-12-13,C. Dune Analytics [Sum of volume],6.57279
2023-12-14,B. Discord Stats [Sum of new_members_guild-activation],5
2023-12-14,C. Dune Analytics [Sum of volume],1.212399
2023-12-15,B. Discord Stats [Sum of new_members_guild-activation],8
2023-12-15,C. Dune Analytics [Sum of volume],0.545898
2023-12-16,B. Discord Stats [Sum of new_members_guild-activation],7
2023-12-16,C. Dune Analytics [Sum of volume],0.1657
2023-12-17,B. Discord Stats [Sum of new_members_guild-activation],7
2023-12-17,C. Dune Analytics [Sum of volume],1.5933
2023-12-18,B. Discord Stats [Sum of new_members_guild-activation],6
2023-12-18,C. Dune Analytics [Sum of volume],7.085497
2023-12-19,B. Discord Stats [Sum of new_members_guild-activation],12
2023-12-19,C. Dune Analytics [Sum of volume],6.0815
2023-12-20,B. Discord Stats [Sum of new_members_guild-activation],5
2023-12-20,C. Dune Analytics [Sum of volume],0.439699
